timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788733198025,120,S01_Browse_And_Checkout_T04_AddTableToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-4,,true,,778,1056,5,5,null,0,4,0
1788733198026,120,AddTableToCart,200,OK,S01_Browse_And_Checkout 1-4,text,true,,778,1056,5,5,http://localhost/wp-admin/admin-ajax.php,120,0,0
1788733199537,117,S01_Browse_And_Checkout_T08_OpenCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-1,,true,,38885,784,5,5,null,0,1,0
1788733199537,117,OpenCart,200,OK,S01_Browse_And_Checkout 1-1,text,true,,38885,784,5,5,http://localhost/cart,114,0,0
1788733200593,102,S01_Browse_And_Checkout_T12_ThankYou,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,36318,774,5,5,null,0,1,0
1788733200593,102,ThankYou,200,OK,S01_Browse_And_Checkout 1-2,text,true,,36318,774,5,5,http://localhost/thank-you,101,0,0
1788733200696,180,S01_Browse_And_Checkout_T01_OpenApplication,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,53066,598,5,5,null,0,8,0
1788733200699,180,OpenApplication,200,OK,S01_Browse_And_Checkout 1-2,text,true,,53066,598,5,5,http://localhost/,171,0,0
1788733200860,74,S01_Browse_And_Checkout_T04_AddTableToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-5,,true,,778,1056,5,5,null,0,2,0
1788733200860,74,AddTableToCart,200,OK,S01_Browse_And_Checkout 1-5,text,true,,778,1056,5,5,http://localhost/wp-admin/admin-ajax.php,74,0,0
